time/iterations,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
,,1.5485278367996216,0.00025,0.01658531,0.124273681640625,,0.2,-0.021123183786403387,0.8973023891448975,0.007881225808523596,-0.1883953958749771,10000000,,,6100,-30.57677059173584,1000.0,7005.386400353908
620,830.73,1.5657622814178467,0.00025,0.01775197,0.14261474609375,5746.00037289,0.2,-0.022646963223814966,0.8747817277908325,0.018541508400812746,-0.18454857170581818,10158080,10714,948,6190,-30.739484596252442,,
630,842.17,1.5856468677520752,0.00025,0.018736407,0.14041748046875,5887.132361650001,0.2,-0.021734460385050624,0.8820382952690125,0.019276868691667913,-0.1829909235239029,10321920,10718,963,6290,-30.946525859832764,,
640,820.84,1.609370470046997,0.00025,0.019401198,0.145703125,5774.91716363,0.2,-0.022292528511025013,0.9030536413192749,0.01616051411256194,-0.18596118688583374,10485760,10724,977,6390,-31.171714878082277,,
650,866.61,1.6247401237487793,0.00025,0.018308496,0.152593994140625,6131.166675600001,0.2,-0.02081096915062517,0.8851205706596375,0.012266378430649639,-0.1856769174337387,10649600,10729,992,6490,-31.29322681427002,,
660,828.38,1.642276406288147,0.00025,0.02053906,0.14884033203125,5907.503326760001,0.2,-0.021838274085894227,0.8626930117607117,0.021253922674804925,-0.185835063457489,10813440,10725,1008,6590,-31.4561017036438,,
670,868.34,1.662479281425476,0.00025,0.019090902,0.135992431640625,6244.079307090001,0.2,-0.021186333248624577,0.8790711164474487,0.015104104252532124,-0.18931172788143158,10977280,10729,1023,6690,-31.634006881713866,,
680,836.06,1.6767535209655762,0.00025,0.020133749,0.14296875,6035.296711769998,0.2,-0.023222725687082856,0.8757335543632507,0.027973113395273686,-0.18763279914855957,11141120,10736,1037,6790,-31.77956304550171,,
690,848.11,1.6953418254852295,0.00025,0.017877245,0.141180419921875,6141.287579320001,0.2,-0.019307107012718917,0.8594915270805359,0.01323004886507988,-0.18713784217834473,11304960,10743,1052,6890,-31.947594356536865,,
700,831.6,1.7130802869796753,0.00025,0.018468834,0.143890380859375,6071.4961707699995,0.2,-0.020884146029129625,0.8677886724472046,0.02003485611639917,-0.18729709088802338,11468800,10750,1066,6990,-32.107214546203615,,
710,819.17,1.7383817434310913,0.00025,0.019230694,0.13548583984375,6022.2758890899995,0.2,-0.021020708582364024,0.8495100140571594,0.02450950862839818,-0.18712110817432404,11632640,10754,1081,7090,-32.32214908599853,,
720,804.97,1.7605565786361694,0.00025,0.017926019,0.143798828125,5940.687057520001,0.2,-0.01957440537516959,0.8709846138954163,0.017858674610033633,-0.18912942707538605,11796480,10754,1096,7190,-32.505164527893065,,
730,794.53,1.7862731218338013,0.00025,0.018471524,0.1351806640625,5869.2144371,0.2,-0.0213930438272655,0.84776771068573,0.021823340002447365,-0.19373711943626404,11960320,10761,1111,7290,-32.72100620269775,,
,,1.7905398607254028,0.00025,0.021388263,0.148797607421875,,0.2,-0.022516535385511814,0.8545165657997131,0.031174803059548138,-0.18844331800937653,12000000,,,7320,-32.751353073120114,1000.0,7602.708290079236
740,869.19,1.8025275468826294,0.00025,0.018595101,0.1398193359375,6455.65577951,0.2,-0.021606982429511846,0.8808208703994751,0.015725817857310177,-0.1969955414533615,12124160,10747,1128,7390,-32.86392707824707,,
750,784.35,1.8268359899520874,0.00025,0.019737229,0.13992919921875,5845.462122149999,0.2,-0.02255031622480601,0.8656550645828247,0.032059617713093756,-0.1923181414604187,12288000,10752,1142,7490,-33.045234489440915,,
760,820.46,1.8501912355422974,0.00025,0.01897719,0.137530517578125,6146.1058262999995,0.2,-0.021934020129265264,0.8483254909515381,0.021871570497751236,-0.1942366510629654,12451840,10762,1156,7590,-33.218981170654295,,
770,849.25,1.8651096820831299,0.00025,0.018562175,0.13336181640625,6373.8655854300005,0.2,-0.020951385353691877,0.8717839121818542,0.012424712348729373,-0.1965576410293579,12615680,10771,1171,7690,-33.338167381286624,,
780,796.84,1.8834493160247803,0.00025,0.01918221,0.13741455078125,6004.25731449,0.2,-0.02054129511816427,0.8074370622634888,0.024674544110894203,-0.1912563145160675,12779520,10780,1185,7790,-33.45887718200684,,
790,782.54,1.9084876775741577,0.00025,0.021220995,0.143939208984375,5945.2222277,0.2,-0.02180621729930863,0.7976332306861877,0.025550253968685866,-0.19441236555576324,12943360,10790,1199,7890,-33.651276206970216,,
800,786.41,1.9227956533432007,0.00025,0.018163946,0.13525390625,5994.256974050001,0.2,-0.021298673120327294,0.8783733248710632,0.020402275025844574,-0.19665321707725525,13107200,10799,1213,7990,-33.756516456604004,,
810,832.8,1.947092890739441,0.00025,0.0187299,0.142474365234375,6372.162795140001,0.2,-0.02058832410839386,0.8785144090652466,0.014497492136433721,-0.19935007393360138,13271040,10809,1227,8090,-33.95990104675293,,
820,778.58,1.9641389846801758,0.00025,0.02155253,0.148846435546875,5963.322734400001,0.2,-0.02226428746362217,0.8640013933181763,0.03439320363104344,-0.19516777992248535,13434880,10817,1241,8190,-34.094879722595216,,
830,793.79,1.9860132932662964,0.00025,0.018495599,0.14473876953125,6135.35002186,0.2,-0.021132316789589822,0.8506845235824585,0.026561159081757067,-0.19554588198661804,13598720,10827,1255,8290,-34.243522834777835,,
840,845.23,2.0023279190063477,0.00025,0.018988302,0.130023193359375,6530.667340880002,0.2,-0.021102305606473238,0.8162641525268555,0.019000666262581945,-0.20138069987297058,13762560,10835,1270,8390,-34.33680038452148,,
850,835.65,2.029064893722534,0.00025,0.019551093,0.14293212890625,6492.714680340001,0.2,-0.021397294464986772,0.82720547914505,0.02067787302657962,-0.20169100165367126,13926400,10844,1284,8490,-34.52994842529297,,
,,2.0416367053985596,0.00025,0.02088115,0.147296142578125,,0.2,-0.020514124014880508,0.8233682513237,0.01731767263263464,-0.20094330608844757,14000000,,,8540,-34.63411197662354,1000.0,8164.969500768185
860,834.6,2.0543723106384277,0.00025,0.018667199,0.13662109375,6537.1518413600015,0.2,-0.019441318116150796,0.789727509021759,0.023858363460749387,-0.1982700228691101,14090240,10833,1300,8590,-34.725044631958006,,
870,788.65,2.075336456298828,0.00025,0.01935142,0.140869140625,6170.93888713,0.2,-0.019468744285404682,0.8485473394393921,0.01771779786795378,-0.200238898396492,14254080,10841,1314,8690,-34.87045154571533,,
880,835.17,2.0979909896850586,0.00025,0.019695688,0.14476318359375,6568.90526196,0.2,-0.02182387189823203,0.8258346319198608,0.02512912657111883,-0.2012042999267578,14417920,10850,1328,8790,-35.03618850708008,,
890,841.15,2.1190342903137207,0.00025,0.020197853,0.136566162109375,6627.062994510001,0.2,-0.01957593752304092,0.7811532616615295,0.019029381638392805,-0.2024109810590744,14581760,10858,1342,8890,-35.17884693145752,,
900,849.35,2.1424460411071777,0.00025,0.019834077,0.13985595703125,6735.2670752899985,0.2,-0.021127853624057023,0.8100746870040894,0.024787157867103816,-0.2024809718132019,14745600,10866,1357,8990,-35.34020309448242,,
910,796.18,2.165379762649536,0.00025,0.019890612,0.15609130859375,6326.183795170001,0.2,-0.01983304655877873,0.8041527271270752,0.0309638692997396,-0.19964347779750824,14909440,10873,1371,9090,-35.494658851623534,,
920,857.21,2.1877481937408447,0.00025,0.0175642,0.14176025390625,6836.256903109998,0.2,-0.017957539833150803,0.7356310486793518,0.017018996877595782,-0.2014198899269104,15073280,10881,1385,9190,-35.639788436889646,,
930,796.81,2.210026979446411,0.00025,0.02039979,0.154388427734375,6348.40991264,0.2,-0.021768187056295574,0.8782234787940979,0.027077118307352065,-0.20306971669197083,15237120,10888,1399,9290,-35.79975128173828,,
940,863.93,2.240581750869751,0.00025,0.017812217,0.134930419921875,6914.707659580001,0.2,-0.020624543027952313,0.8387290835380554,0.013412078097462653,-0.20975196361541748,15400960,10895,1413,9390,-35.9719820022583,,
